"","plotID","d15N","d13C","nitrogenPercent","carbonPercent","CNratio"
"294","GUAN_042",1.95,-26.525,2.215,47.1675,21.375
"295","GUAN_043",NA,NA,NA,NA,NA
"296","GUAN_044",2.29,-26.96,1.273,44.749,38.87
"297","GUAN_045",0.628571428571429,-26.8,1.10785714285714,44.8685714285714,46.2928571428571
"298","GUAN_046",-0.0142857142857143,-26.9,1.28,45.9857142857143,37.6
"299","GUAN_047",-0.60625,-26.55,1.24,45.439375,39
"300","GUAN_048",1.6,-25.9833333333333,1.74833333333333,45.775,28.7166666666667
"301","GUAN_049",1.44,-25.8866666666667,1.76933333333333,45.4446666666667,27.9333333333333
"302","GUAN_050",2.26363636363636,-26.6727272727273,1.18818181818182,46.0754545454545,41.0454545454545
"303","GUAN_051",2.19090909090909,-26.8363636363636,1.68,46.93,30.4636363636364
"304","GUAN_052",0.0466666666666667,-27.0066666666667,1.32733333333333,46.5153333333333,38.2666666666667
"305","GUAN_053",0.7,-26.7,1.216,44.362,40.12
"306","GUAN_054",1.02,-25.9733333333333,2.058,47.1413333333333,23.8666666666667
"307","GUAN_055",0.65,-26.3285714285714,1.58285714285714,47.0257142857143,34.95
"308","GUAN_056",NA,NA,NA,NA,NA
"309","GUAN_057",1.91818181818182,-26.5909090909091,1.39727272727273,45.0063636363636,34.5818181818182
"310","GUAN_058",0.433333333333333,-26.44,1.838,46.3286666666667,26.9533333333333
"311","GUAN_059",1.24545454545455,-26.1636363636364,1.93545454545455,46.6190909090909,26
"312","GUAN_060",1.075,-26.65,1.3575,44.9775,35.55
"313","GUAN_061",1.27333333333333,-27,1.35933333333333,46.5526666666667,36.5866666666667
"314","HARV_033",NA,NA,NA,NA,NA
"315","HARV_034",NA,NA,NA,NA,NA
"316","HARV_035",NA,NA,NA,NA,NA
"317","HARV_036",NA,NA,NA,NA,NA
"318","HARV_037",NA,NA,NA,NA,NA
"319","HARV_038",NA,NA,NA,NA,NA
"320","HARV_039",NA,NA,NA,NA,NA
"321","HARV_040",NA,NA,NA,NA,NA
"322","HARV_041",NA,NA,NA,NA,NA
"323","HARV_042",NA,NA,NA,NA,NA
"324","HARV_043",NA,NA,NA,NA,NA
"325","HARV_044",NA,NA,NA,NA,NA
"326","HARV_045",NA,NA,NA,NA,NA
"327","HARV_046",NA,NA,NA,NA,NA
"328","HARV_047",NA,NA,NA,NA,NA
"329","HARV_048",NA,NA,NA,NA,NA
"330","HARV_049",NA,NA,NA,NA,NA
